newsID,Genre,Title,Content_text,Views,language,link
1,3,Wall St. Bears Claw Back Into the Black (Reuters),"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.","59,030",eng,
2,3,Carlyle Looks Toward Commercial Aerospace (Reuters),"Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market.",,eng,https://images.gr-assets.com/s/1447303603m/2767052.jpg
3,3,Oil and Economy Cloud Stocks' Outlook (Reuters),Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums.,"75,867",eng,
4,3,Iraq Halts Oil Exports from Main Southern Pipeline (Reuters),"Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.","95,009",en-US,https://images.gr-assets.com/s/1361039443m/41865.jpg
5,3,"Oil prices soar to all-time record, posing new menace to US economy (AFP)","AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.","72,586",eng,https://images.gr-assets.com/s/1361975680m/2657.jpg
6,3,"Stocks End Up, But Near Year Lows (Reuters)","Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\Dell Inc. (DELL.O)","51,992",eng,https://images.gr-assets.com/s/1490528560m/4671.jpg
7,3,Money Funds Fell in Latest Week (AP),"AP - Assets of the nation's retail money market mutual funds fell by  #36;1.17 billion in the latest week to  #36;849.98 trillion, the Investment Company Institute said Thursday.",,eng,https://images.gr-assets.com/s/1360206420m/11870085.jpg
8,3,Fed minutes show dissent over inflation (USATODAY.com),"USATODAY.com - Retail sales bounced back a bit in July, and new claims for jobless benefits fell last week, the government said Thursday, indicating the economy is improving from a midsummer slump.","37,653",en-US,https://images.gr-assets.com/s/1372847500m/5907.jpg
9,3,Safety Net (Forbes.com),"Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley.","44,920",eng,
10,3,Wall St. Bears Claw Back Into the Black," NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again.","25,112",en-CA,https://images.gr-assets.com/s/1303390735m/960.jpg
11,3,Oil and Economy Cloud Stocks' Outlook, NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums.,"49,152",eng,https://images.gr-assets.com/s/1320399351m/1885.jpg
12,3,No Need for OPEC to Pump More-Iran Gov," TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply.","59,730",eng,https://images.gr-assets.com/s/1484565687m/77203.jpg
13,3,Non-OPEC Nations Should Up Output-Purnomo," JAKARTA (Reuters) - Non-OPEC oil exporters should consider  increasing output to cool record crude prices, OPEC President  Purnomo Yusgiantoro said on Sunday.",,eng,https://images.gr-assets.com/s/1328559506m/13335037.jpg
14,3,Google IPO Auction Off to Rocky Start, WASHINGTON/NEW YORK (Reuters) - The auction for Google  Inc.'s highly anticipated initial public offering got off to a  rocky start on Friday after the Web search company sidestepped  a bullet from U.S. securities regulators.,"45,518",eng,
15,3,Dollar Falls Broadly on Record Trade Gap, NEW YORK (Reuters) - The dollar tumbled broadly on Friday  after data showing a record U.S. trade deficit in June cast  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the growing gap.,"35,472",eng,https://images.gr-assets.com/s/1424037542m/7613.jpg
16,3,Rescuing an Old Saver,"If you think you may need to help your elderly relatives with their finances, don't be shy about having the money talk -- soon.","20,825",eng,https://images.gr-assets.com/s/1358276407m/48855.jpg
17,3,Kids Rule for Back-to-School,The purchasing power of kids is a big part of why the back-to-school season has become such a huge marketing phenomenon.,"62,543",eng,https://images.gr-assets.com/s/1327868566m/2429135.jpg
18,3,"In a Down Market, Head Toward Value Funds","There is little cause for celebration in the stock market these days, but investors in value-focused mutual funds have reason to feel a bit smug -- if only because they've lost less than the folks who stuck with growth.","88,538",eng,
19,3,US trade deficit swells in June,"The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures.","36,099",eng,https://images.gr-assets.com/s/1499277281m/5.jpg
20,3,Shell 'could be target for Total',"Oil giant Shell could be bracing itself for a takeover attempt, possibly from French rival Total, a  press report claims.","15,333",eng,https://images.gr-assets.com/s/1298411339m/34.jpg
21,3,Google IPO faces Playboy slip-up,"The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine.","96,274",eng,https://images.gr-assets.com/s/1358275419m/7260188.jpg
22,3,Eurozone economy keeps growing,"Official figures show the 12-nation eurozone economy continues to grow, but there are warnings it may slow down later in the year.","28,685",eng,https://images.gr-assets.com/s/1387141547m/2.jpg
23,3,Expansion slows in Japan,Economic growth in Japan slows down as the country experiences a drop in domestic and corporate spending.,"36,642",eng,https://images.gr-assets.com/s/1457810586m/12232938.jpg
24,3,Rand falls on shock SA rate cut,"Interest rates are trimmed to 7.5 by the South African central bank,  but the lack of warning hits the rand and surprises markets.","34,172",eng,https://images.gr-assets.com/s/1474169725m/15881.jpg
25,3,Car prices down across the board,"The cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found.","31,084",eng,https://images.gr-assets.com/s/1361482611m/6.jpg
26,3,South Korea lowers interest rates,South Korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy.,"51,942",eng,https://images.gr-assets.com/s/1474171184m/136251.jpg
27,3,Google auction begins on Friday,"An auction of shares in Google, the web search engine which could be floated for as much as \$36bn, takes place on Friday.","41,560",eng,https://images.gr-assets.com/s/1303252999m/968.jpg
28,3,HP shares tumble on profit news,"Hewlett-Packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations.","27,520",eng,
29,3,Mauritian textile firm cuts jobs,One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs.,"26,886",eng,https://images.gr-assets.com/s/1327869409m/7624.jpg
30,3,Chad seeks refugee aid from IMF,"Chad asks the IMF for a loan to pay for looking after more than 100,000 refugees from conflict-torn Darfur in western Sudan.","14,778",eng,https://images.gr-assets.com/s/1327872146m/18135.jpg
31,3,Japan nuclear firm shuts plants,The company running the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks.,,eng,https://images.gr-assets.com/s/1339602131m/8442457.jpg
32,3,Veteran inventor in market float,"Trevor Baylis, the veteran inventor famous for creating the Freeplay clockwork radio, is planning to float his company on the stock market.","78,204",eng,https://images.gr-assets.com/s/1346100365m/4667024.jpg
33,3,Saudi Arabia to open up oil taps,"Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.","24,642",eng,https://images.gr-assets.com/s/1437235233m/890.jpg
34,3,Saudi phone sector gets \$1bn lift,A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia.,"25,605",eng,
35,3,Indians fill rail skills shortage,Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage.,"75,437",eng,https://images.gr-assets.com/s/1385207843m/10818853.jpg
36,3,Steady as they go,BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.,,eng,https://images.gr-assets.com/s/1483412266m/865.jpg
37,3,"Google IPO: Type in 'confusing,' 'secrecy'",I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news.,,eng,https://images.gr-assets.com/s/1342493368m/3636.jpg
38,3,A bargain hunter's paradise,"Massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores.","15,186",eng,https://images.gr-assets.com/s/1353029077m/100915.jpg
39,3,Researchers seek to untangle the e-mail thread,"E-mail is a victim of its own success. That's the conclusion of IBM Corp. researchers in Cambridge, who have spent nearly a decade conducting field tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's killer application.","43,382",eng,https://images.gr-assets.com/s/1437728815m/14050.jpg
40,3,Microsoft Corp. 2.0: a kinder corporate culture,"Even a genius can mess up. Bill Gates was a brilliant technologist when he cofounded Microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he thought.","46,205",eng,
